CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
4	41	15	0.7498	89.053
9	41	15	0.9528	-1.912
13	41	15	0.8192	-0.997
18	21	15	0.8011	129.958
18	29	15	0.8776	111.947
2	7	15	0.8051	18.010
3	8	15	0.749	41.027
4	8	15	0.8243	18.011
4	9	15	0.7697	90.964
183	517	15	0.7996	-54.034
490	517	15	0.7788	-22.992
517	524	15	0.7853	53.026
9	13	15	0.7701	-0.915
478	491	15	0.8943	0.000
478	509	15	0.8548	0.000
478	523	15	0.8386	-9.948
7	21	15	0.7869	-15.977
21	29	15	0.8501	-18.011
494	525	15	0.8484	-9.985
525	526	15	0.9283	0.000
183	513	15	0.8805	-1.008
513	516	15	0.9174	0.000
513	524	15	0.8898	0.000
513	527	15	0.8882	0.000
183	524	15	0.8262	-1.008
516	524	15	0.9253	0.000
524	527	15	0.9213	0.000
491	523	15	0.7995	-9.948
494	523	15	0.7996	13.031
509	523	15	0.7759	-9.948
491	509	15	0.8702	0.000
490	494	15	0.8098	2.016
494	526	15	0.8355	-9.985
7	28	15	0.7772	31.927
183	490	15	0.7686	-31.042
183	516	15	0.8905	-1.008
516	527	15	0.9082	0.000
68	355	15	0.8629	-86.231
25	143	16	0.8865	0.038
117	143	16	0.9598	0.000
126	143	16	0.9471	0.502
143	152	16	0.9705	0.028
143	203	16	0.9611	-0.038
25	117	16	0.919	0.038
25	126	16	0.8902	-0.464
25	152	16	0.8902	0.065
25	203	16	0.9172	-0.000
117	152	16	0.9616	0.028
126	152	16	0.963	0.529
152	203	16	0.9714	-0.065
117	126	16	0.9638	-0.502
117	203	16	0.974	-0.038
126	203	16	0.9655	0.464
111	411	17	0.8199	-266.261
193	411	17	0.7986	-266.261
374	411	17	0.9216	-56.063
389	411	17	0.9066	-30.047
397	411	17	0.9176	-28.031
406	411	17	0.8938	-2.016
374	406	17	0.861	-54.047
389	406	17	0.9259	-28.031
397	406	17	0.9026	-26.016
374	389	17	0.9301	-26.016
389	397	17	0.9482	-2.016
86	111	17	0.826	37.956
111	193	17	0.9682	-0.000
111	374	17	0.8269	-210.198
111	388	17	0.785	-258.196
111	396	17	0.8075	-260.212
111	397	17	0.8306	-238.230
86	193	17	0.8068	37.956
193	374	17	0.8232	-210.198
193	388	17	0.7722	-258.196
193	396	17	0.7836	-260.211
193	397	17	0.8108	-238.229
86	396	17	0.9061	-222.256
388	396	17	0.922	-2.016
86	388	17	0.8764	-220.240
374	397	17	0.9205	-28.031
244	266	18	0.9334	-88.052
260	266	18	0.9558	-44.026
265	266	18	0.8965	-17.027
266	268	18	0.7872	74.037
266	270	18	0.9518	-44.026
266	271	18	0.7952	30.011
266	273	18	0.9257	-88.052
266	282	18	0.9051	-132.079
266	289	18	0.8705	-176.105
