"feature_id_full","feature_id","feature_mz","feature_rt","sirius_molecularformula"
"434_315.23_8.8",434,315.231851748483,8.753798,"C21H30O2"
"435_459.31_8.8",435,459.310671753323,8.754615,"C28H42O5"
"436_481.29_8.8",436,481.292677032689,8.755207,NA
"437_497.27_8.8",437,497.266488108375,8.755247,NA
"438_282.28_8.8",438,282.279149186754,8.776176,"C18H35NO"
"439_497.27_8.9",439,497.266498187257,8.884165,NA
"44_359_0.5",44,358.999235760419,0.4821121,"C8H18ClN2O5PS"
"440_481.29_8.9",440,481.292633615482,8.885593,NA
"441_315.23_8.9",441,315.23186748431,8.885841,"C21H32O3"
"442_483.31_8.9",442,483.307870041722,8.902934,NA
"443_427.32_8.9",443,427.320992882668,8.909631,"C28H44O4"
"444_449.3_8.9",444,449.302882296541,8.911638,NA
"445_393.32_9",445,393.315078487626,8.9866,"C28H42O2"
"446_463.13_9.1",446,463.13049848599,9.096745,"C20H28N2O6S"
"447_445.12_9.1",447,445.120171137889,9.097219,"C19H22N2O9"
"448_411.33_9.1",448,411.325880278177,9.108773,"C28H42O2"
"449_469.31_9.1",449,469.313639599957,9.134012,NA
"45_475.07_0.5",45,475.073371415522,0.48239952,"C13H26O13P2"
"450_464.36_9.1",450,464.358473884201,9.134605,"C24H49NO7"
"451_732.55_9.2",451,732.553628262748,9.158606,"C40H78NO8P"
"452_140.07_9.2",452,140.068226365432,9.158707,NA
"453_758.57_9.2",453,758.569342551267,9.159094,"C42H80NO8P"
"454_780.55_9.2",454,780.551351284321,9.159133,"C42H80NO8P"
"455_606.41_9.2",455,606.413135197631,9.190591,"C31H60NO8P"
"456_670.44_9.2",456,670.441919997661,9.225338,"C34H66NO8P"
"457_648.46_9.2",457,648.460009698362,9.226638,"C34H66NO8P"
"458_411.33_9.3",458,411.325895629635,9.294299,"C28H42O2"
"459_732.55_9.3",459,732.553876443671,9.318546,"C40H78NO8P"
"46_407.09_0.5",46,407.086046553712,0.48481646,NA
"460_758.57_9.3",460,758.569568438601,9.32254,"C42H80NO8P"
"461_780.55_9.3",461,780.551629865509,9.326534,"C42H80NO8P"
"462_140.07_9.3",462,140.068273854789,9.32775,NA
"463_375.3_9.4",463,375.304846946621,9.3918705,"C28H40O"
"464_758.57_9.5",464,758.569463895659,9.511555,"C42H80NO8P"
"465_395.33_9.5",465,395.33113375615,9.512525,"C28H44O2"
"466_429.34_9.5",466,429.336560977544,9.512759,"C28H44O3"
"467_377.32_9.5",467,377.320396320066,9.512924,"C28H42O"
"468_608.43_9.6",468,608.428775815843,9.58349,"C31H62NO8P"
"469_672.46_9.6",469,672.457520778521,9.633759,"C34H68NO8P"
"47_374.97_0.5",47,374.973270752978,0.48720485,"C10H8F3N4OPS2"
"470_650.48_9.6",470,650.475689906258,9.638082,"C34H68NO8P"
"471_634.44_9.7",471,634.444439801008,9.690142,"C33H64NO8P"
"472_698.47_9.7",472,698.47313573944,9.738139,"C36H70NO8P"
"473_782.57_9.7",473,782.566314278006,9.739919,NA
"474_676.49_9.7",474,676.491388724743,9.741766,"C36H70NO8P"
"475_959.57_9.8",475,959.570204057223,9.753002,NA
"476_760.58_9.8",476,760.584426579939,9.758449,"C42H82NO8P"
"477_660.46_9.8",477,660.460058747039,9.813225,"C35H66NO8P"
"478_128.12_9.9",478,128.118415022757,9.8569765,"C6H15N3O"
"479_371.1_9.9",479,371.101342898872,9.861263,"C22H16N2O5"
"48_223.02_0.5",48,223.024528402589,0.48819247,NA
"480_554.18_9.9",480,554.1762611235,9.861654,"C26H28F3N5O3"
"482_724.49_9.9",482,724.488805854919,9.881552,"C38H72NO8P"
"483_702.51_9.9",483,702.506650032465,9.8823395,"C38H72NO8P"
"484_662.48_9.9",484,662.475606900286,9.910219,"C35H68NO8P"
"485_790.56_9.9",485,790.559132146305,9.934495,"C42H80NO10P"
