formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C15H21N4O5S	[M + H3N + H]+	C15H25N5O5S+	0.999	0.041	76.602	76.289	0.313	28	0.776	-1.494	2.162	-4.756		387.155	120	2.005	695994813201065300	695994646108375340	89	
1	C41H73BN2O8	[M + H]+	C41H74BN2O8+	0.827	0.378	20.740	20.740	0.000	12	0.406	1.077	3.659	-1.646	PC 32:1	732.556	121	2.016	695994782687500933	695994646188067124	91	
1	C14H31NO4	[M - H2O + H]+	C14H30NO3+	1.000	0.333	77.437	76.111	1.327	14	0.674	3.391	3.633	-69211.726		260.222	121	2.016	695994790950280641	695994646146124080	90	
1	C4H7NO4	[M - H2O + H]+	C4H6NO3+	1.000	0.333	13.523	13.523	0.000	2	0.042	2.685	2.685	-155215.106		116.034	121	2.018	695994780531628442	695994646309701948	93	
1	C3H4O2	[M + H3N + H]+	C3H8NO2+	0.307	0.297	3.232	1.000	2.232	0				2.833		90.055	121	2.018	695994785585765256	695994646238398776	92	
1	C9H15NO4	[M - H2O + H]+	C9H14NO3+	0.999	0.333	123.323	120.313	3.011	17	0.431	-0.410	3.470	-97829.817		184.097	121	2.019	695994799607324849	695994646351644992	94	
1	C9H14O5	[M + H3N + H]+	C9H18NO5+	0.996	0.333	182.673	176.622	6.051	31	0.888	2.633	2.633	1.276		220.118	121	2.019	695994795169750755	695994646435531076	95	
1	C9H12O4	[M + H3N + H]+	C9H16NO4+	0.966	0.333	176.305	172.227	4.078	18	0.520	1.908	3.796	1.957		202.108	121	2.020	695994808335672329	695994646481668424	96	
1	C5H7N5O	[M - H2O + H]+	C5H6N5+	1.000	0.333	1.995	1.995	0.000	0	0.000	0.084	0.084	-132368.557		136.062	122	2.032	695994775045478331	695994646557165904	98	
1	C37H72O4	[M + Na]+	C37H72NaO4+	1.000	1.000	144.050	143.081	0.969	30	0.597	6.004	6.004	4.471		603.535	122	2.034	695994801696088538	695994646523611468	97	
1	C11H12N4O3S	[M + H3N + H]+	C11H16N5O3S+	0.992	0.333	60.368	55.864	4.504	11	0.936	2.879	2.917	0.413		298.097	122	2.036	695994780208666963	695994646649440596	99	
1	C40H73FN8O5	[M - H2O + H]+	C40H72FN8O4+	0.334	0.331	42.573	42.573	0.000	30	0.766	-1.884	2.618	-24089.587		747.567	122	2.037	695994802170044944	695994646691383640	100	
1	C41H78NO8P	[M + H]+	C41H79NO8P+	1.000	1.000	110.480	105.524	4.957	31	0.690	1.984	2.026	0.804	PE(18:1_18:1)	744.554	122	2.038	695994781253048787	695994646863350108	101	
1	C40H76NO8P	[M + H]+	C40H77NO8P+	1.000	1.000	87.480	87.480	0.000	23	0.676	-1.205	3.066	4.584	PE 35:2	730.541	123	2.044	695994806276268989	695994646909487456	102	
1	C10H12O4	[M - H2O + H]+	C10H11O3+	1.000	0.500	90.473	90.473	0.000	11	0.361	5.289	5.289	-100579.429		179.070	124	2.063	695994781580204542	695994646938847588	103	
1	C9H15B10NO3	[M + Na]+	C9H15B10NNaO3+	0.929	0.937	82.555	82.555	0.000	39	0.734	-1.738	4.966	-4.880		308.222	124	2.067	695994800009978073	695994646968207720	104	
1	C18H33NO5	[M - H2O + H]+	C18H32NO4+	0.908	0.333	162.807	157.645	5.163	29	0.410	1.357	3.196	-55207.274		326.233	124	2.067	695994801842889195	695994647001762156	105	
1	C13H33BN3O5	[M + Na]+	C13H33BN3NaO5+	0.913	0.914	129.432	129.432	0.000	38	0.755	-0.695	4.027	-3.308		344.243	124	2.067	695994806280463294	695994647123396976	106	
1	C41H76O8	[M + Na]+	C41H76NaO8+	0.999	0.999	49.057	49.057	0.000	25	0.826	1.044	2.126	-2.001		719.542	124	2.068	695994784386194182	695994647169534324	107	
1	C39H76NO8P	[M + H]+	C39H77NO8P+	1.000	1.000	145.893	137.468	8.425	30	0.658	1.670	1.934	0.374	PE(18:1_16:0)	718.538	124	2.069	695994798655217704	695994647521855864	108	
1	C35H70O4	[M + Na]+	C35H70NaO4+	1.000	1.000	134.031	129.478	4.552	28	0.679	1.955	3.183	3.997		577.519	124	2.070	695994800328745229	695994647588964732	109	
1	C41H70N8O4	[M - H2O + H]+	C41H69N8O3+	0.208	0.241	57.200	57.200	0.000	27	0.761	-0.120	3.113	-24961.429		721.548	124	2.070	695994786504317937	695994647622519168	110	
1	C39H74NO8P	[M + H]+	C39H75NO8P+	1.000	1.000	87.179	87.179	0.000	40	0.732	1.141	1.410	1.994	PE(18:2_16:0)	716.524	124	2.072	695994773954959231	695994647660267908	111	
1	C18H35NO6	[M + H]+	C18H36NO6+	0.586	0.333	145.638	142.539	3.099	37	0.790	1.249	3.147	0.513		362.254	125	2.076	695994817412146716	695994647794485640	112	
1	C40H75NO6	[M + K]+	C40H75KNO6+	0.950	0.977	65.884	62.203	3.681	23	0.535	-0.254	3.164	1.665		704.524	125	2.085	695994795371077368	695994647849011596	113	
1	C37H72NO8P	[M + H]+	C37H73NO8P+	1.000	1.000	140.967	130.862	10.105	28	0.655	2.188	2.188	1.403	PE(16:1_16:0)	690.508	126	2.099	695994791709449730	695994648348133776	114	
1	C41H75O7P	[M - H2O + H]+	C41H74O6P+	0.635	0.500	82.077	82.077	0.000	25	0.633	-0.582	2.515	-25977.194		693.517	126	2.099	695994791000612297	695994648419436948	115	
1	C33H66O4	[M + Na]+	C33H66NaO4+	1.000	1.000	150.084	146.036	4.048	30	0.610	3.471	3.580	4.857		549.488	126	2.100	695994790459547018	695994648478157208	116	
1	C11H17NO4	[M + H3N + H]+	C11H21N2O4+	1.000	0.333	74.681	72.783	1.898	14	0.498	3.849	3.849	1.617		245.150	127	2.109	695994778585471153	695994648549460384	118	
1	C5H9NO4	[M - H2O + H]+	C5H8NO3+	1.000	0.314	11.670	11.670	0.000	1	0.077	6.014	6.014	-138484.948		130.050	127	2.109	695994797032021873	695994648515905948	117	
1	C36H70NO8P	[M + H]+	C36H71NO8P+	1.000	1.000	55.599	52.528	3.072	12	0.516	3.101	3.101	0.575	PE(16:1_15:0)	676.492	127	2.114	695994804854399855	695994648608180644	119	
1	C20H42B10N6O2	[M + Na]+	C20H42B10N6NaO2+	1.000	1.000	111.037	111.037	0.000	41	0.788	0.600	4.223	3.442		521.457	128	2.128	695994791252270572	695994648637540776	120	
1	C35H68NO8P	[M + H]+	C35H69NO8P+	1.000	1.000	107.043	99.582	7.462	26	0.712	2.424	2.424	0.934	PE(14:0_16:1)	662.476	128	2.130	695994771996219067	695994648729815468	121	
1	C4H8O3S	[M - H2O + H]+	C4H7O2S+	0.993	0.489	12.917	12.917	0.000	2	0.150	-6.310	6.310	-151326.520		119.016	131	2.181	695994772948326126	695994648771758512	122	
1	C4H10O4S	[M - H2O + H]+	C4H9O3S+	0.981	0.497	40.488	40.488	0.000	4	0.556	7.808	7.808	-131436.193		137.027	131	2.181	695994792414092851	695994648813701556	123	
1	C8H16FNO6	[M - H2O + H]+	C8H15FNO5+	0.971	0.333	73.395	73.395	0.000	12	0.664	-1.878	4.324	-80375.694		224.092	131	2.182	695994808478278685	695994648864033208	124	
1	C33H62FN5O2	[M + H3N + H]+	C33H66FN6O2+	0.870	0.279	80.209	75.416	4.792	30	0.720	-0.538	2.944	-3.448		597.521	132	2.201	695994778438670469	695994648939530684	125	
1	C11H21ClFN3O2S	[M - H2O + H]+	C11H20ClFN3OS+	0.683	0.088	24.408	24.408	0.000	11	0.552	0.664	1.624	-60826.702		296.099	132	2.205	695994788563721470	695994648985668032	126	
1	C18H36O2	[M + H3N + H]+	C18H40NO2+	0.744	0.500	90.618	87.975	2.643	16	0.531	2.462	2.633	1.700		302.306	133	2.223	695994781982857790	695994649031805380	127	
1	C17H20O8	[M + H3N + H]+	C17H24NO8+	0.946	0.321	72.271	68.900	3.371	15	0.530	0.424	2.213	-0.603		370.149	134	2.228	695994810025976946	695994649086331336	128	
1	C15H31NO2	[M - H2O + H]+	C15H30NO+	0.941	0.333	53.718	51.065	2.653	12	0.312	2.868	3.198	-74969.299		240.233	134	2.233	695994771841029800	695994649140857292	129	
1	C19H40N2O4	[M - H2O + H]+	C19H39N2O3+	0.565	0.333	57.083	52.356	4.727	10	0.796	3.233	3.233	-52462.353		343.296	134	2.233	695994778904238328	695994649245714896	130	
1	C12H27NO4	[M - H2O + H]+	C12H26NO3+	0.999	0.333	60.040	57.184	2.856	15	0.708	3.506	4.132	-77565.797		232.191	135	2.246	695994774311475083	695994649312823764	131	
