"canopus_formulaRank"	"canopus_molecularFormula"	"canopus_adduct"	"canopus_precursorFormula"	"canopus_NPC#pathway"	"canopus_NPC#pathway Probability"	"canopus_NPC#superclass"	"canopus_NPC#superclass Probability"	"canopus_NPC#class"	"canopus_NPC#class Probability"	"canopus_ClassyFire#superclass"	"canopus_ClassyFire#superclass probability"	"canopus_ClassyFire#class"	"canopus_ClassyFire#class Probability"	"canopus_ClassyFire#subclass"	"canopus_ClassyFire#subclass Probability"	"canopus_ClassyFire#level 5"	"canopus_ClassyFire#level 5 Probability"	"canopus_ClassyFire#most specific class"	"canopus_ClassyFire#most specific class Probability"	"canopus_ClassyFire#all classifications"	"canopus_ionMass"	"canopus_retentionTimeInSeconds"	"canopus_retentionTimeInMinutes"	"canopus_formulaId"	"canopus_alignedFeatureId"	"canopus_mappingFeatureId"	"canopus_overallFeatureQuality"	"feature_id"
1	"C5H9NO4"	"[M - H2O + H]+"	"C5H8NO3+"	"Amino acids and Peptides"	0.954	"Small peptides"	0.987	"Aminoacids"	0.528	"Organic acids and derivatives"	1	"Carboxylic acids and derivatives"	1	"Amino acids, peptides, and analogues"	0.992	"Amino acids and derivatives"	0.991	"N-acyl-alpha amino acids"	0.95	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; N-acyl-alpha amino acids; Fatty Acyls; Acetamides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	130.05	108	1.805	695994794909703936	695994644086720640	41	NA	41
1	"C13H21NO4"	"[M + H3N + H]+"	"C13H25N2O4+"	"Fatty acids"	0.869	"Fatty amides"	0.921	"N-acyl amines"	0.729	"Organic acids and derivatives"	1	"Carboxylic acids and derivatives"	1	"Amino acids, peptides, and analogues"	0.992	"Amino acids and derivatives"	0.992	"N-acyl-alpha amino acids"	0.907	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; N-acyl-alpha amino acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Glutamine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	273.182	108	1.805	695994801419264384	695994644132857984	42	NA	42
1	"C6H7NO3"	"[M - H2O + H]+"	"C6H6NO2+"	"Alkaloids"	0.994	"Nicotinic acid alkaloids"	0.996	"Pyridine alkaloids"	0.996	"Organoheterocyclic compounds"	1	"Pyridines and derivatives"	0.997	"Pyridinecarboxylic acids and derivatives"	0.883	"Pyridinecarboxylic acids"	0.81	"Pyridinecarboxylic acids"	0.81	"Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Pyridinecarboxylic acids and derivatives; Pyridinecarboxylic acids; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	124.04	108	1.808	695994802740470400	695994644195772544	43	NA	43
1	"C9H12O2"	"[M - H2O + H]+"	"C9H11O+"	"Shikimates and Phenylpropanoids"	0.634	"Phenylpropanoids (C6-C3)"	0.851	"Cinnamic acids and derivatives"	0.817	"Benzenoids"	0.959	"Benzene and substituted derivatives"	0.828	NA	NA	NA	NA	"Benzene and substituted derivatives"	0.828	"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	135.081	109	1.822	695994771971053184	695994644262881408	44	NA	44
3	"C16H33N2O3"	"[M + H3N + H]+"	"C16H37N3O3+"	"Alkaloids"	0.476	"Nicotinic acid alkaloids"	0.291	"Pyridine alkaloids"	0.288	"Organic acids and derivatives"	0.62	"Carboxylic acids and derivatives"	0.595	NA	NA	NA	NA	"Carboxylic acids and derivatives"	0.595	"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	319.285	109	1.824	695994773405505408	695994644304824448	45	NA	45
1	"C27H50N4O4"	"[M + H3N + H]+"	"C27H54N5O4+"	"Amino acids and Peptides"	0.549	"Fatty amides"	0.373	"N-acyl amines"	0.12	"Organic acids and derivatives"	0.984	"Carboxylic acids and derivatives"	0.933	"Amino acids, peptides, and analogues"	0.762	"Amino acids and derivatives"	0.746	"Alpha amino acids and derivatives"	0.654	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	512.416	110	1.83	695994811456234624	695994644355156096	46	NA	46
1	"C7H12NO2"	"[M + Na]+"	"C7H12NNaO2+"	"Alkaloids"	0.496	"Lysine alkaloids"	0.267	"Piperidine alkaloids"	0.196	"Organic acids and derivatives"	0.475	"Carboxylic acids and derivatives"	0.531	NA	NA	NA	NA	"Carboxylic acids and derivatives"	0.531	"Organic compounds; Organoheterocyclic compounds; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carbonyl compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	165.076	110	1.832	695994781458569728	695994644392904832	47	NA	47
2	"C13H22N4O3"	"[M + K]+"	"C13H22KN4O3+"	"Amino acids and Peptides"	0.445	"Small peptides"	0.594	"Aminoacids"	0.091	"Organoheterocyclic compounds"	0.646	"Oxazinanes"	0.533	"Morpholines"	0.544	NA	NA	"Morpholines"	0.544	"Organic compounds; Organoheterocyclic compounds; Oxazinanes; Ethers; Organonitrogen compounds; Organooxygen compounds; Guanidines; Morpholines; Dialkyl ethers; Amines; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	321.131	110	1.832	695994805525488512	695994644434847872	48	NA	48
1	"C24H50O7"	"[M + H3N + H]+"	"C24H54NO7+"	"Fatty acids"	0.975	"Fatty acyls"	0.509	"Fatty alcohols"	0.385	"Organic oxygen compounds"	1	"Organooxygen compounds"	1	"Ethers"	0.935	"Dialkyl ethers"	0.948	"Polyethylene glycols"	0.882	"Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	468.39	110	1.833	695994781924137472	695994644472596608	49	NA	49
1	"C20H42O5"	"[M + H3N + H]+"	"C20H46NO5+"	"Fatty acids"	0.993	"Glycerolipids"	0.859	"Fatty alcohols"	0.563	"Organic oxygen compounds"	1	"Organooxygen compounds"	1	"Ethers"	0.985	"Dialkyl ethers"	0.987	"Polyethylene glycols"	0.797	"Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	380.337	110	1.834	695994776400238592	695994644510345344	50	NA	50
2	"C16H25NO7"	"[M + H3N + H]+"	"C16H29N2O7+"	"Amino acids and Peptides"	0.665	"Macrolides"	0.229	"Piperidine alkaloids"	0.152	"Organic acids and derivatives"	0.994	"Carboxylic acids and derivatives"	0.986	"Amino acids, peptides, and analogues"	0.683	"Amino acids and derivatives"	0.683	"Alpha amino acids and derivatives"	0.694	"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Lactones; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Carboxylic acids; Carboxylic acid esters; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	361.198	110	1.834	695994798659411968	695994644548094080	51	NA	51
1	"C36H72NO8P"	"[M + H]+"	"C36H73NO8P+"	"Fatty acids"	0.992	"Glycerophospholipids"	0.999	"Glycerophosphocholines"	0.968	"Lipids and lipid-like molecules"	0.984	"Glycerophospholipids"	0.996	"Glycerophosphocholines"	0.986	"Phosphatidylcholines"	0.968	"Phosphatidylcholines"	0.968	"Organic compounds; Lipids and lipid-like molecules; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Carboxylic acid derivatives; Carboxylic acid esters; Phosphocholines; Phosphatidylcholines; Carbonyl compounds; Glycerophosphocholines; Amines; Alkyl phosphates; Dialkyl phosphates; Organic cations; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	678.506	110	1.837	695994771572594304	695994644669728896	53	NA	53
1	"C10H23NO"	"[M + H]+"	"C10H24NO+"	"Fatty acids"	0.964	"Spingolipids"	0.621	"Sphingoid bases"	0.959	"Organic nitrogen compounds"	1	"Organonitrogen compounds"	1	"Amines"	0.997	"Alkanolamines"	0.943	"1,2-aminoalcohols"	0.917	"Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; 1,2-aminoalcohols; Dialkylamines; Amines; Secondary amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	174.186	110	1.838	695994771287381632	695994644728449152	54	NA	54
1	"C36H70NO8P"	"[M + H]+"	"C36H71NO8P+"	"Fatty acids"	1	"Glycerophospholipids"	1	"Glycerophosphocholines"	0.996	"Lipids and lipid-like molecules"	0.991	"Glycerophospholipids"	1	"Glycerophosphocholines"	0.996	"Phosphatidylcholines"	0.988	"Phosphatidylcholines"	0.988	"Organic compounds; Lipids and lipid-like molecules; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Carboxylic acid derivatives; Carboxylic acid esters; Phosphocholines; Phosphatidylcholines; Carbonyl compounds; Glycerophosphocholines; Amines; Alkyl phosphates; Dialkyl phosphates; Organic cations; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	676.491	110	1.841	695994771560011392	695994644791363712	55	NA	55
2	"C22H46O6"	"[M + H3N + H]+"	"C22H50NO6+"	"Fatty acids"	0.997	"Fatty acyls"	0.841	"Fatty alcohols"	0.946	"Lipids and lipid-like molecules"	0.839	"Fatty Acyls"	0.815	"Fatty alcohols"	0.599	NA	NA	"Fatty alcohols"	0.599	"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Fatty alcohols; Secondary alcohols; Fatty Acyls; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	424.363	110	1.841	695994776081471488	695994644862666880	56	NA	56
2	"C13H18O3"	"[M + H3N + H]+"	"C13H22NO3+"	"Terpenoids"	0.48	"Sesquiterpenoids"	0.355	"Jasmonic acids"	0.183	"Lipids and lipid-like molecules"	0.535	NA	NA	NA	NA	NA	NA	"Lipids and lipid-like molecules"	0.535	"Organic compounds; Lipids and lipid-like molecules; Ketones; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	240.159	111	1.85	695994780221249920	695994644925581440	57	NA	57
4	"C16H26O4"	"[M + H3N + H]+"	"C16H30NO4+"	"Terpenoids"	0.762	"Sesquiterpenoids"	0.725	"Dicarboxylic acids"	0.055	"Lipids and lipid-like molecules"	0.855	"Fatty Acyls"	0.596	"Fatty acids and conjugates"	0.541	"Branched fatty acids"	0.565	"Branched fatty acids"	0.565	"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Branched fatty acids; Carboxylic acids; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	300.217	113	1.877	695994780217055616	695994645001078912	59	NA	59
1	"C16H35NO4"	"[M - H2O + H]+"	"C16H34NO3+"	"Fatty acids"	1	"Fatty amides"	0.999	"N-acyl amines"	0.995	"Organic acids and derivatives"	0.996	"Carboxylic acids and derivatives"	0.988	"Amino acids, peptides, and analogues"	0.795	"Amino acids and derivatives"	0.796	"N-acyl-alpha amino acids"	0.867	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Hydroxy acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary alcohols; Beta hydroxy acids and derivatives; Carbonyl compounds; N-acyl-alpha amino acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	288.254	113	1.884	695994782305819264	695994645034633344	60	NA	60
1	"C7H13NO4"	"[M - H2O + H]+"	"C7H12NO3+"	"Amino acids and Peptides"	0.949	"Small peptides"	0.976	"Aminoacids"	0.82	"Organic acids and derivatives"	1	"Carboxylic acids and derivatives"	1	"Amino acids, peptides, and analogues"	0.982	"Amino acids and derivatives"	0.981	"N-acyl-alpha amino acids and derivatives"	0.668	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	158.082	113	1.886	695994798864932992	695994645076576384	61	NA	61
2	"C11H19NO5"	"[M + H]+"	"C11H20NO5+"	"Amino acids and Peptides"	0.764	"Small peptides"	0.845	"Dipeptides"	0.319	"Organic acids and derivatives"	1	"Carboxylic acids and derivatives"	1	"Amino acids, peptides, and analogues"	0.986	"Amino acids and derivatives"	0.985	"N-acyl-alpha amino acids"	0.734	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; N-acyl-alpha amino acids; Fatty Acyls; Acetamides; Organic oxides; Hydrocarbon derivatives; Glutamic acid and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	246.134	113	1.891	695994790182722944	695994645114325248	62	NA	62
3	"C16H25NO4"	"[M + H]+"	"C16H26NO4+"	"Amino acids and Peptides"	0.399	"Ornithine alkaloids"	0.206	"Piperidine alkaloids"	0.361	"Lipids and lipid-like molecules"	0.563	NA	NA	NA	NA	NA	NA	"Lipids and lipid-like molecules"	0.563	"Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	296.186	114	1.906	695994800903364992	695994645156268288	63	NA	63
1	"C13H11NO3"	"[M + H3N + H]+"	"C13H15N2O3+"	"Alkaloids"	0.948	"Tryptophan alkaloids"	0.93	"Simple indole alkaloids"	0.941	"Organoheterocyclic compounds"	1	"Indoles and derivatives"	0.992	"Indolyl carboxylic acids and derivatives"	0.904	NA	NA	"Indolyl carboxylic acids and derivatives"	0.904	"Organic compounds; Organoheterocyclic compounds; Pyrroles; Ketones; Indoles and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Indolyl carboxylic acids and derivatives; Carbonyl compounds; Substituted pyrroles; Benzenoids; Indoles; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; 3-alkylindoles; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	247.108	114	1.907	695994800525877504	695994645206599936	64	NA	64
1	"C17H26O6"	"[M + H3N + H]+"	"C17H30NO6+"	"Polyketides"	0.672	"Macrolides"	0.952	"Macrolide lactones"	0.982	"Organic acids and derivatives"	0.96	"Carboxylic acids and derivatives"	0.965	"Dicarboxylic acids and derivatives"	0.638	NA	NA	"Dicarboxylic acids and derivatives"	0.638	"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Lactones; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Carboxylic acids; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	344.207	115	1.91	695994792330206720	695994645248542976	65	NA	65
